name,title,company,linkedin,headline,notes
Jaime A. Toro,President,Popular Securities,https://www.linkedin.com/in/jaime-a-toro-4ab75922/,,Securities/wealth management
Tomás Dardet,President,PRLinks Communications,https://www.linkedin.com/in/tom%C3%A1s-dardet-02977610/,,PR and communications
Roque Redondo,President,Excellius Consulting Services,https://www.linkedin.com/in/roqueredondo/,,Management consulting
Francis Xavier Gonzalez,President,Curzon Puerto Rico,https://www.linkedin.com/in/francis-xavier-gonzalez-jd-csm-a1419474/,,Legal/consulting
Eric Secola,President,Ellipsis,https://www.linkedin.com/in/eric-secola-6794a48/,,Technology/consulting
Waleska Rivera,President & CEO,Danosa Caribbean,https://www.linkedin.com/in/waleska-rivera-b5a30644/,,Building materials/construction
PJ Wilson,President,SESA Puerto Rico,https://www.linkedin.com/in/pjcleanenergy/,,Clean energy
Adriana Ramirez,President & COO,Abarca,https://www.linkedin.com/in/adrianaramirezesq/,,Healthcare technology
Orlando Ríos San Miguel CPA,SVP & CFO,MAPFRE Puerto Rico,https://www.linkedin.com/in/orlando-r%C3%ADos-san-miguel-cpa-2a163859/,,Insurance company
Esteban Velez Del Toro,CFO,Metropistas,https://www.linkedin.com/in/esteban-velez-del-toro-59a50189/,,Toll road infrastructure
Jorge Junquera,CFO,United Surety and Indemnity Company,https://www.linkedin.com/in/jorge-junquera-0aa9a52/,,Insurance/surety
Michelle Montoto CPA,CFO & SVP,Empresas Caparra,https://www.linkedin.com/in/michelle-montoto-cpa-b9a2bb101/,,Real estate/retail
Ramón Ponce Fantaúzzi,CFO,Human Advisors,https://www.linkedin.com/in/poncefantauzzi/,,HR/advisory services
Marcos Rodriguez-Ema,Capital Member & COO,McConnell Valdés,https://www.linkedin.com/in/marcos-rodriguez-ema-b52887146/,,Major PR law firm
Joaquin Bolivar III,EVP & COO,Courtyard by Marriott San Juan-Miramar,https://www.linkedin.com/in/jbolivar3/,,Hospitality operations
Jose Mercado,COO & CFO,Moncayo,https://www.linkedin.com/in/jose-mercado-73381826/,,Business operations
Carlos Laureano,COO Commerce & Health,VML,https://www.linkedin.com/in/carlos-laureano-890b1841/,,Marketing/advertising agency
José Luis Rodríguez Collazo,CEO,First Hospital Panamericano,https://www.linkedin.com/in/jose-luis-rodriguez-collazo-mhsa-99503967/,,Healthcare/hospital
Luis Ivan González Serralles,CTO,Windmar Group,https://www.linkedin.com/in/luis-ivan-gonz%C3%A1lez-serralles-26285b264/,,Renewable energy
Lisandro E. Quiñones,CTO,Blanco Group,https://www.linkedin.com/in/lisandroquinones/,,Real estate development
Hector Bird,CTO,PC & Mac Solutions,https://www.linkedin.com/in/hector-bird-7aa590161/,,IT services
Ricardo Rosario,CIO,Empire Gas Group,https://www.linkedin.com/in/ricardo-rosario-8505a2a5/,,Energy/gas distribution
Armando Santoni,CIO,OATRH,https://www.linkedin.com/in/armando-santoni-64090637/,,Government HR technology
Pedro Perez,CIO,PUPR,https://www.linkedin.com/in/pedro-perez-bb41089/,,University technology
Frank Guardiola,CIO,Health Department City of San Juan,https://www.linkedin.com/in/frankguardiola/,,Government health IT
Mari Evelyn Rodriguez,Chief Retail Banking Officer,Oriental,https://www.linkedin.com/in/marievelynrodriguez/,,Retail banking
Liza García Vélez,Executive Director,Puerto Rico Chamber of Commerce,https://www.linkedin.com/in/liza-garc%C3%ADa-v%C3%A9lez-279650222/,,Business advocacy
Nory Rivera,Executive Director,Puerto Rico Builders Association,https://www.linkedin.com/in/nory-rivera-602288154/,,Construction/real estate industry
